i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
1291,44,0,4,4,2,2,-3,2,3,2,-4,-1,3,-15,1,1,1936,-4,-2,-2,-4,2,,1,0,-5,-3,2,-16,-3,-5,-2,16,1,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,-1,3,-1,3,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,1,5,,1,-3,0,3,-9,-3,0,3,-9,0,-4,3,1,1,1,1,1,2,0,1,0,0,2,-3,2,1,1,0,-5,0,-4,0,2,3,2,-3,0,,,1,0,0,0,1,0
1292,56,0,2,4,2,3,-3,2,3,2,-5,0,5,-25,1,1,3136,-3,2,2,-3,1,0,3,0,-5,0,5,-25,0,-5,-5,25,1,1,0,0,0,0,0,1,0,-2,-2,0,0,0,0,1,0,4,0,4,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,2,5,,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,4,1,1,1,1,1,5,0,1,0,1,1,-5,0,2,0,0,-5,0,-3,0,2,1,0,-2,1,0,0,4,0,0,0,1,0
1294,60,0,2,4,3,2,2,4,2,2,-4,-6,-2,20,0,1,3600,2,4,2,4,1,0,2,1,-4,-6,-2,20,-4,-6,-2,20,0,1,0,-3,-3,-3,-3,1,0,-1,-1,0,0,0,0,1,-4,0,0,-4,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,,,3,1,0,-3,-3,9,0,-3,-3,9,,,2,0,1,0,1,2,5,0,1,0,2,0,-2,0,-2,0,0,-4,0,-2,0,2,1,0,-1,0,0,0,2,0,0,0,1,0
1295,55,0,1,3,0,1,-1,-1,4,2,0,0,0,0,1,1,3025,-1,-1,-1,-1,1,0,4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,-2,-2,0,0,0,1,1,-3,1,-3,1,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,,,3,1,-1,-2,-1,3,-1,-2,-1,3,,,2,1,0,1,0,3,-1,0,-3,0,-3,0,-5,0,-1,1,0,-5,0,-2,0,2,3,2,-1,0,0,0,4,0,1,0,0,0
1296,24,0,2,2,2,1,-4,1,1,2,-6,-1,5,-35,1,1,576,0,3,3,0,2,,3,0,-2,-1,1,-3,-1,-2,-1,3,0,0,1,3,3,3,3,2,0,-1,-1,0,0,0,1,0,0,4,0,4,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,2,5,,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,4,1,1,1,0,2,1,1,-5,1,-1,1,-5,0,2,0,0,-3,1,-4,1,1,1,0,-4,1,,,4,0,0,0,0,0
1297,60,0,4,4,3,2,-1,3,2,2,-1,-5,-4,24,0,1,3600,-1,3,-1,3,1,0,2,1,-1,-5,-4,24,-1,-5,-4,24,0,1,0,1,1,1,1,2,1,-3,-3,0,0,0,1,1,-4,0,-4,0,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,0,5,,1,0,-3,-3,9,0,-3,-3,9,-2,-7,3,0,1,0,1,1,4,0,1,1,0,0,0,0,-2,0,0,-4,0,-3,0,2,4,2,1,0,0,0,1,0,0,0,1,0
1298,59,1,2,2,2,2,-3,4,3,2,-3,-4,-1,7,0,1,3481,-4,-3,-3,-4,2,,1,0,-4,-3,1,-7,-3,-4,-1,7,0,0,1,2,2,2,2,2,1,-2,-2,0,0,0,0,0,-2,2,2,-2,3,1,-2,-2,0,0,0,0,0,-2,1,,,,,3,2,-2,-1,1,-3,-2,-1,1,-3,,,1,0,0,0,1,1,5,0,0,1,-1,1,-3,1,0,1,0,-5,1,-1,1,1,1,0,0,1,,,,1,0,0,0,0
1299,55,1,4,2,2,1,-4,-2,3,2,-2,0,2,-4,1,1,3025,-4,-2,-4,-2,1,0,3,1,-2,0,2,-4,-2,0,2,-4,1,1,1,-1,-1,-1,-1,2,1,-1,-1,0,0,0,1,1,-4,0,0,-4,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,,,3,1,0,-3,-3,9,0,-3,-3,9,,,2,0,1,0,0,2,5,0,1,1,1,1,-1,1,-2,1,0,-5,0,-2,1,1,4,2,1,1,0,0,3,0,0,0,1,0
1302,50,1,2,2,0,1,-1,0,2,2,-1,-2,-1,3,0,1,2500,2,3,2,3,2,,2,1,-4,-5,-1,9,-4,-5,-1,9,0,1,0,-4,-4,-4,-4,1,0,-2,-2,0,0,0,1,0,-4,0,0,-4,3,1,-2,-2,0,0,0,0,0,-2,1,,,,,3,2,0,-3,-3,9,0,-3,-3,9,,,1,0,1,0,0,0,5,0,0,2,-1,2,-3,1,-2,0,0,-5,0,-1,1,1,3,2,-2,1,,,,0,0,1,1,0
1303,44,1,2,1,2,1,-4,-3,1,2,-5,-4,1,-9,1,1,1936,0,4,4,0,2,,3,0,-1,-3,-2,8,-3,-1,2,-8,1,0,0,-2,-2,-2,-2,1,1,-3,-3,0,0,0,1,1,-1,3,3,-1,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,,,3,1,-3,0,3,-9,-3,0,3,-9,,,2,1,1,1,0,2,1,1,-2,2,-3,2,-3,1,1,1,0,-5,0,0,2,0,2,1,-3,0,,,,0,1,0,0,0
