i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
153,2,41,1681,4,1,2,1,SPD,0,1,-1,1,-1.3013183,1.1161331,2,3,3,1,1,-1,-1.3013183,1,0
153,3,41,1681,4,1,2,1,Grüne,0,1,-2,1,-1.7564344,1.165725,2,3,3,1,1,-2,-1.7564344,1,0
153,4,41,1681,4,1,2,1,AfD,0,1,5,0,3.1958568,.6836158,2,3,3,1,1,-5,-3.1958568,1,0
153,5,41,1681,4,1,2,1,Linke,0,1,-3,1,-3.566855,.7859385,2,3,3,1,1,-3,-3.566855,1,0
153,6,41,1681,4,1,2,1,FDP,0,1,1,1,-.28876334,1.2912743,2,3,3,1,1,-1,-.28876334,1,0
154,1,55,3025,2,0,1,0,CDU/CSU,-3,1,0,0,-.017576899,1.1010672,3,1,3,0,1,-3,-2.9824231,5,0
154,2,55,3025,2,0,1,0,SPD,-3,1,-1,1,-1.3013183,1.1161331,3,1,3,0,1,-2,-1.6986817,5,0
154,3,55,3025,2,0,1,0,Grüne,-3,1,0,0,-1.7564344,1.165725,3,1,3,0,1,-3,-1.2435656,5,0
154,4,55,3025,2,0,1,0,AfD,-3,1,4,0,3.1958568,.6836158,3,1,3,0,1,-7,-6.195857,5,0
154,5,55,3025,2,0,1,0,Linke,-3,1,-4,0,-3.566855,.7859385,3,1,3,0,1,-1,-.56685495,5,1
154,6,55,3025,2,0,1,0,FDP,-3,1,0,1,-.28876334,1.2912743,3,1,3,0,1,-3,-2.7112367,5,0
155,1,62,3844,4,0,3,2,CDU/CSU,-2,1,2,0,-.017576899,1.1010672,4,2,4,0,0,-4,-1.9824231,3,0
155,2,62,3844,4,0,3,2,SPD,-2,1,-3,0,-1.3013183,1.1161331,4,2,4,0,0,-1,-.69868171,3,0
155,3,62,3844,4,0,3,2,Grüne,-2,1,-3,0,-1.7564344,1.165725,4,2,4,0,0,-1,-.24356556,3,1
155,4,62,3844,4,0,3,2,AfD,-2,1,5,0,3.1958568,.6836158,4,2,4,0,0,-7,-5.195857,3,0
155,5,62,3844,4,0,3,2,Linke,-2,1,-4,0,-3.566855,.7859385,4,2,4,0,0,-2,-1.566855,3,0
155,6,62,3844,4,0,3,2,FDP,-2,1,1,0,-.28876334,1.2912743,4,2,4,0,0,-3,-1.7112367,3,0
157,1,53,2809,3,1,3,1,CDU/CSU,0,0,-5,0,-.017576899,1.1010672,4,2,4,-1,0,-5,-.017576899,1,1
157,2,53,2809,3,1,3,1,SPD,0,0,-2,0,-1.3013183,1.1161331,4,2,4,-1,0,-2,-1.3013183,1,0
157,3,53,2809,3,1,3,1,Grüne,0,0,-1,0,-1.7564344,1.165725,4,2,4,-1,0,-1,-1.7564344,1,0
157,4,53,2809,3,1,3,1,AfD,0,0,5,0,3.1958568,.6836158,4,2,4,-1,0,-5,-3.1958568,1,0
157,5,53,2809,3,1,3,1,Linke,0,0,-5,0,-3.566855,.7859385,4,2,4,-1,0,-5,-3.566855,1,0
157,6,53,2809,3,1,3,1,FDP,0,0,-1,0,-.28876334,1.2912743,4,2,4,-1,0,-1,-.28876334,1,0
158,1,41,1681,4,0,1,0,CDU/CSU,5,0,5,0,-.017576899,1.1010672,2,1,0,0,1,0,-5.0175767,4,0
158,2,41,1681,4,0,1,0,SPD,5,0,-2,2,-1.3013183,1.1161331,2,1,0,0,1,-7,-6.3013182,4,0
158,3,41,1681,4,0,1,0,Grüne,5,0,-2,2,-1.7564344,1.165725,2,1,0,0,1,-7,-6.7564344,4,0
158,4,41,1681,4,0,1,0,AfD,5,0,5,0,3.1958568,.6836158,2,1,0,0,1,0,-1.8041432,4,1
158,5,41,1681,4,0,1,0,Linke,5,0,-2,2,-3.566855,.7859385,2,1,0,0,1,-7,-8.5668545,4,0
158,6,41,1681,4,0,1,0,FDP,5,0,-2,2,-.28876334,1.2912743,2,1,0,0,1,-7,-5.2887635,4,0
159,1,50,2500,2,1,3,0,CDU/CSU,-1,3,-2,3,-.017576899,1.1010672,2,1,3,-1,2,-1,-.98242313,1,1
159,2,50,2500,2,1,3,0,SPD,-1,3,-4,2,-1.3013183,1.1161331,2,1,3,-1,2,-3,-.30131829,1,0
159,3,50,2500,2,1,3,0,Grüne,-1,3,0,3,-1.7564344,1.165725,2,1,3,-1,2,-1,-.75643444,1,0
159,4,50,2500,2,1,3,0,AfD,-1,3,5,1,3.1958568,.6836158,2,1,3,-1,2,-6,-4.195857,1,0
159,5,50,2500,2,1,3,0,Linke,-1,3,-5,2,-3.566855,.7859385,2,1,3,-1,2,-4,-2.566855,1,0
159,6,50,2500,2,1,3,0,FDP,-1,3,-2,2,-.28876334,1.2912743,2,1,3,-1,2,-1,-.71123666,1,0
161,1,47,2209,3,1,2,1,CDU/CSU,0,3,0,3,-.017576899,1.1010672,3,3,2,0,3,0,-.017576899,1,1
161,2,47,2209,3,1,2,1,SPD,0,3,0,3,-1.3013183,1.1161331,3,3,2,0,3,0,-1.3013183,1,0
161,3,47,2209,3,1,2,1,Grüne,0,3,0,3,-1.7564344,1.165725,3,3,2,0,3,0,-1.7564344,1,0
161,4,47,2209,3,1,2,1,AfD,0,3,5,0,3.1958568,.6836158,3,3,2,0,3,-5,-3.1958568,1,0
161,5,47,2209,3,1,2,1,Linke,0,3,-5,0,-3.566855,.7859385,3,3,2,0,3,-5,-3.566855,1,0
161,6,47,2209,3,1,2,1,FDP,0,3,0,3,-.28876334,1.2912743,3,3,2,0,3,0,-.28876334,1,0
162,1,66,4356,2,0,1,0,CDU/CSU,-5,1,1,1,-.017576899,1.1010672,4,1,3,2,1,-6,-4.9824233,5,0
162,2,66,4356,2,0,1,0,SPD,-5,1,0,1,-1.3013183,1.1161331,4,1,3,2,1,-5,-3.6986818,5,0
162,3,66,4356,2,0,1,0,Grüne,-5,1,-2,1,-1.7564344,1.165725,4,1,3,2,1,-3,-3.2435656,5,0
162,4,66,4356,2,0,1,0,AfD,-5,1,5,1,3.1958568,.6836158,4,1,3,2,1,-10,-8.195857,5,0
162,5,66,4356,2,0,1,0,Linke,-5,1,-5,0,-3.566855,.7859385,4,1,3,2,1,0,-1.433145,5,1
162,6,66,4356,2,0,1,0,FDP,-5,1,4,1,-.28876334,1.2912743,4,1,3,2,1,-9,-4.7112365,5,0
163,1,44,1936,2,0,1,1,CDU/CSU,0,1,-2,1,-.017576899,1.1010672,3,1,2,-2,1,-2,-.017576899,6,0
163,2,44,1936,2,0,1,1,SPD,0,1,-3,1,-1.3013183,1.1161331,3,1,2,-2,1,-3,-1.3013183,6,0
163,3,44,1936,2,0,1,1,Grüne,0,1,-4,1,-1.7564344,1.165725,3,1,2,-2,1,-4,-1.7564344,6,0
163,4,44,1936,2,0,1,1,AfD,0,1,1,2,3.1958568,.6836158,3,1,2,-2,1,-1,-3.1958568,6,0
163,5,44,1936,2,0,1,1,Linke,0,1,-5,0,-3.566855,.7859385,3,1,2,-2,1,-5,-3.566855,6,0
163,6,44,1936,2,0,1,1,FDP,0,1,0,1,-.28876334,1.2912743,3,1,2,-2,1,0,-.28876334,6,1
164,1,62,3844,1,1,2,0,CDU/CSU,0,0,-3,1,-.017576899,1.1010672,3,3,2,-3,1,-3,-.017576899,1,1
