exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
1,,,2,244,2,0,1,0,0,0,1,0,,-4,-7,-3,33,,,,,,,0,3,,-4,0,0,,,,26,4,1,2,1,1,3,3,2,2,0,1,0,0,0
1,,,2,245,2,1,0,0,1,0,0,1,,-1,-3,-2,8,,,,,,,2,4,,1,0,0,,,,56,2,0,3,1,3,4,3,2,0,-3,0,0,0,0
1,,,3,246,2,0,0,0,0,0,0,0,,-3,-1,2,-8,,,,,,,-2,2,,1,0,0,,,,42,2,0,2,1,1,4,1,0,3,0,1,1,0,1
1,,,3,248,2,1,1,0,1,0,1,0,,-5,-1,4,-24,,,,,,,-3,3,,2,0,0,,,,34,4,1,2,1,0,2,1,0,3,0,1,,,
1,,,1,249,2,1,1,0,0,0,1,0,,-9,-3,6,-72,,,,,,,-4,2,,5,0,0,,,,34,4,0,3,1,0,4,0,0,4,5,0,,,
1,,,3,250,2,0,0,1,0,1,0,0,,-1,0,1,-1,,,,,,,-2,-1,,-1,1,0,,,,24,2,1,1,0,0,2,2,1,2,-1,2,0,0,0
1,,,3,251,2,0,1,1,0,0,1,0,,0,-3,-3,9,,,,,,,-2,1,,-2,1,0,,,,66,4,1,2,1,2,3,3,2,3,2,1,,,
1,,,3,252,2,1,1,0,0,0,0,0,,-3,-1,2,-8,,,,,,,-3,1,,0,0,0,,,,58,4,0,3,1,2,4,1,0,2,-3,0,0,0,0
1,,,2,253,2,1,0,0,0,0,0,0,,-1,-4,-3,15,,,,,,,1,4,,0,1,0,,,,29,2,0,2,1,3,1,1,0,2,-1,0,0,0,0
1,,,3,254,2,0,1,0,0,0,1,0,,-1,-5,-4,24,,,,,,,-2,4,,-1,1,0,,,,64,1,0,2,1,1,1,1,0,3,0,2,0,0,0
1,,,3,258,2,0,1,0,0,0,1,0,,-1,-4,-3,15,,,,,,,-4,1,,-3,0,0,,,,68,3,0,1,0,1,3,1,0,2,1,1,,,
1,,,2,259,2,0,1,0,0,0,1,0,,-1,-3,-2,8,,,,,,,-1,1,,-2,1,0,,,,58,1,0,2,1,0,3,2,1,2,0,1,0,0,0
1,,,2,260,2,1,0,0,0,0,0,0,,-3,-4,-1,7,,,,,,,2,3,,-1,0,0,,,,48,3,1,3,1,2,4,3,2,2,-3,0,,,
1,,,3,261,2,0,1,0,0,0,1,0,,0,-5,-5,25,,,,,,,-1,4,,-1,1,0,,,,38,4,1,2,1,1,3,1,0,3,-1,1,,,
1,,,4,262,2,0,1,0,0,0,1,0,,0,0,0,0,,,,,,,-3,-3,,-3,1,0,,,,50,4,0,3,1,1,3,1,0,4,1,2,,,
1,,,2,263,2,0,1,0,0,0,1,0,,-6,-7,-1,13,,,,,,,3,4,,-3,0,0,,,,64,4,0,2,1,0,3,1,0,3,1,1,0,0,0
1,,,2,264,2,0,1,0,0,0,0,0,,-1,-8,-7,63,,,,,,,-4,3,,-5,1,0,,,,21,2,1,2,1,1,3,2,1,2,-2,2,1,1,0
1,,,3,265,2,1,1,0,0,0,0,0,,-2,-1,1,-3,,,,,,,-2,1,,0,2,1,,,,39,2,0,1,0,1,1,2,1,2,0,2,1,1,0
1,,,3,266,2,0,1,1,0,0,0,0,,-3,-3,0,0,,,,,,,-3,3,,0,3,1,,,,55,1,1,2,1,1,1,3,2,2,0,2,,,
1,,,1,267,2,1,1,0,0,0,0,0,,-4,-2,2,-12,,,,,,,-2,0,,2,0,0,,,,37,1,0,1,0,1,0,3,2,2,-3,0,0,0,0
1,,,1,268,2,1,1,0,1,0,0,0,,-2,-2,0,0,,,,,,,-3,-3,,-1,1,0,,,,42,2,1,2,1,1,2,3,2,3,-1,2,0,0,0
1,,,2,269,2,0,1,1,0,0,1,0,,-1,-2,-1,3,,,,,,,0,1,,-1,0,0,,,,58,4,0,0,0,1,1,3,2,0,2,1,,,
1,,,3,270,2,0,1,0,0,0,0,0,,-3,-5,-2,16,,,,,,,-4,4,,-1,0,0,,,,52,1,1,3,1,1,3,3,2,0,-5,0,,,
1,,,3,271,2,0,0,1,0,1,0,0,,-1,0,1,-1,,,,,,,-1,0,,0,0,0,,,,55,2,0,0,0,0,2,3,2,0,0,0,0,0,0
1,,,3,272,2,0,1,1,0,0,1,0,,-3,-4,-1,7,,,,,,,-4,3,,-1,2,1,,,,42,1,1,2,1,2,2,3,2,2,-1,2,,,
1,,,3,273,2,1,1,0,1,0,1,0,,-2,-2,0,0,,,,,,,-2,2,,0,0,0,,,,54,3,1,3,1,2,2,3,2,2,-1,1,0,0,0
1,,,3,275,2,0,1,0,0,0,1,0,,0,-6,-6,36,,,,,,,-3,3,,-3,1,0,,,,29,3,1,2,1,1,3,2,1,3,1,2,,,
1,,,3,276,2,1,0,0,0,0,0,0,,0,-4,-4,16,,,,,,,-3,1,,-3,3,1,,,,53,2,1,2,1,1,1,2,1,3,-3,3,,,
1,,,1,278,2,1,1,0,1,0,1,0,,-4,-1,3,-15,,,,,,,-4,-1,,0,0,0,,,,62,1,0,3,1,2,2,2,1,2,-1,1,0,0,0
1,,,3,279,2,1,0,0,0,0,0,0,,-1,-2,-1,3,,,,,,,1,4,,2,0,0,,,,35,4,0,1,0,1,4,3,2,2,-2,0,,,
1,,,2,280,2,0,1,0,0,0,1,0,,-1,-5,-4,24,,,,,,,-2,2,,-3,1,0,,,,60,2,0,2,1,1,2,2,1,3,-1,1,0,0,0
1,,,1,281,2,1,1,0,0,0,0,0,,-3,-1,2,-8,,,,,,,-3,-1,,0,0,0,,,,67,2,0,2,1,1,2,1,0,3,0,1,,,
1,,,2,282,2,0,1,0,0,0,0,0,,-1,-3,-2,8,,,,,,,1,3,,0,1,0,,,,68,1,0,1,0,1,3,1,0,3,0,2,0,0,0
1,,,3,283,2,1,0,0,0,0,0,0,,0,-2,-2,4,,,,,,,0,2,,0,0,0,,,,48,2,1,2,1,0,0,3,2,0,0,2,,,
1,,,3,284,2,0,1,1,0,0,0,0,,0,-4,-4,16,,,,,,,0,4,,0,0,0,,,,62,1,0,2,1,1,2,3,2,3,-1,1,,,
1,,,3,285,2,0,1,1,0,0,1,0,,-2,-5,-3,21,,,,,,,-3,4,,-1,1,0,,,,66,1,0,2,1,1,2,3,2,2,-1,1,0,0,0
1,,,3,287,2,0,1,0,0,0,0,0,,-1,-1,0,0,,,,,,,-2,0,,-1,1,0,,,,58,2,0,2,1,3,2,2,1,2,-1,2,,,
1,,,3,288,2,1,0,0,1,0,0,0,,-2,-5,-3,21,,,,,,,-4,3,,-2,1,0,,,,29,3,0,2,1,1,4,1,0,1,-2,0,0,0,0
1,,,2,289,2,0,1,0,0,0,1,0,,-1,-7,-6,48,,,,,,,-4,2,,-5,0,0,,,,58,1,1,2,1,1,3,3,2,3,-3,1,,,
1,,,1,290,2,1,1,0,0,0,1,0,,-4,-1,3,-15,,,,,,,-4,-1,,0,0,0,,,,52,1,0,3,1,0,4,3,2,3,-1,0,0,0,0
1,,,3,292,2,0,1,0,0,0,1,0,,0,-6,-6,36,,,,,,,-3,3,,-3,1,0,,,,43,4,1,2,1,1,4,1,0,3,1,1,,,
1,,,3,293,2,0,1,0,0,0,1,0,,0,-2,-2,4,,,,,,,-1,1,,-1,1,0,,,,30,4,1,2,1,2,0,3,2,3,0,2,0,0,0
1,,,3,294,2,0,1,1,0,0,1,0,,-3,-3,0,0,,,,,,,-4,2,,-1,1,0,,,,53,3,0,2,1,2,3,3,2,3,2,1,0,0,0
