exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc,amb
5,3,,,2130,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,1,0,1,0,5,34,4,0,2,1,1,2,3,2,3,0,0,,,,1
5,3,,,2135,1,0,1,1,0,0,0,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,54,2,1,1,0,2,2,2,1,2,-2,1,0,0,0,1
5,3,,,2149,1,1,1,0,0,0,1,0,1,-7,-4,3,-33,-7,-4,3,-33,0,-5,-2,1,-2,5,0,0,1,5,0,57,2,0,0,0,0,0,1,0,0,-5,0,0,0,0,1
5,3,,,2151,1,1,1,0,0,0,1,0,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,34,2,1,2,1,1,1,3,2,3,0,1,,,,1
5,3,,,2158,1,0,1,0,0,0,1,0,0,-3,-6,-3,27,-3,-6,-3,27,-5,-10,-2,1,-2,-5,0,0,1,0,5,57,2,1,3,1,1,4,1,0,1,-1,1,,,,1
5,3,,,2165,1,0,0,1,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,66,1,1,3,1,1,1,3,2,2,0,0,,,,1
5,3,,,2170,1,0,0,0,0,0,0,0,0,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,1,0,1,1,5,29,1,0,2,1,1,1,1,0,1,-1,2,0,0,0,1
5,3,,,2177,1,1,1,0,0,0,1,0,1,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,1,0,1,1,5,58,2,0,2,1,2,2,1,0,3,-1,1,,,,1
5,3,,,2178,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,30,3,1,1,0,3,2,4,2,1,0,1,,,,1
5,3,,,2189,1,0,0,0,0,1,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,2,1,1,0,5,25,4,1,1,0,0,0,2,1,2,0,2,,,,1
