exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
2:risk,,new,both left,1621,Party B,Party B,yes,no,no,no,yes,yes,yes,-6,-5,1,-11,-6,-5,1,-11,,,-4,-3,-4,2,ziemlich unsicher,unsicher,-3,,,53,ohne,f,gering,gering,2,mittelmäßig,manchmal Risiken,affin,teils/ teils,2,ziemlich unsicher,,,
2:risk,,new,both left,1622,Party B,Party B,yes,no,yes,no,yes,no,yes,-4,-2,2,-12,-4,-2,2,-12,,,-4,-2,-4,0,sehr sicher,sicher,-2,,,57,Realschule,m,groß,groß,0,sehr stark,Sicherheit,avers,teils/ teils,0,ziemlich sicher,,,
2:risk,,new,left/right,1623,Party A,Party A,yes,no,no,no,yes,no,yes,0,-4,-4,16,-4,0,4,-16,,,-3,1,1,-3,ziemlich sicher,sicher,-3,,,65,Hauptschule,f,groß,groß,0,ziemlich stark,unbedingte Sicherheit,avers,teils/ teils,0,ziemlich sicher,,,
2:risk,,new,both right,1626,Party B,Party A,yes,no,no,no,yes,no,no,-1,-4,-3,15,-1,-4,-3,15,,,-3,0,-3,-4,sehr sicher,sicher,0,,,69,Realschule,f,gering,gering,1,ziemlich stark,keine Vorlieben,neutral,teils/ teils,1,ziemlich sicher,,,
2:risk,,new,both right,1631,Party B,Party A,yes,no,no,no,yes,no,no,-1,-5,-4,24,-1,-5,-4,24,,,-2,2,-2,-3,ziemlich sicher,sicher,2,,,29,Hochschulstudium,f,groß,groß,0,weniger stark,manchmal Risiken,affin,ziemlich zufrieden,0,weder/noch,,,
2:risk,,new,left/right,1634,Party B,Party B,yes,no,yes,no,no,yes,yes,-3,0,3,-9,-3,0,3,-9,,,-4,-1,-4,-1,ziemlich sicher,sicher,-1,,,62,Hauptschule,m,sehr gering,gering,3,überhaupt nicht,manchmal Risiken,affin,sehr unzufrieden,2,ziemlich unsicher,,,
2:risk,,new,both right,1637,Party A,Party A,yes,no,no,no,yes,no,yes,-7,-8,-1,15,-8,-7,1,-15,,,3,4,4,-4,sehr sicher,sicher,3,,,42,Abitur,m,sehr groß,groß,1,sehr stark,keine Vorlieben,neutral,ziemlich zufrieden,-1,ziemlich sicher,,,
2:risk,,new,left/right,1641,Party B,Party A,yes,yes,no,no,yes,no,no,0,-5,-5,25,0,-5,-5,25,,,-1,4,-1,-1,ziemlich unsicher,unsicher,4,,,33,Hauptschule,f,groß,groß,1,weniger stark,keine Vorlieben,neutral,teils/ teils,-5,weder/noch,,,
2:risk,,new,both right,1642,Party A,Party B,no,no,no,no,no,no,no,-1,-2,-1,3,-2,-1,1,-3,,,1,2,2,0,sehr sicher,sicher,1,,,35,Realschule,m,gering,gering,2,ziemlich stark,unbedingte Sicherheit,avers,teils/ teils,0,ziemlich sicher,,,
2:risk,,new,both right,1644,Party B,Party A,yes,no,no,no,yes,no,no,-3,-6,-3,27,-3,-6,-3,27,,,0,3,0,-3,ziemlich sicher,sicher,3,,,33,Realschule,m,groß,groß,0,ziemlich stark,Sicherheit,avers,sehr zufrieden,1,ziemlich sicher,,,
2:risk,,new,both right,1646,Party A,Party A,yes,no,no,no,yes,no,yes,-2,-4,-2,12,-4,-2,2,-12,,,1,3,3,-1,sehr sicher,sicher,1,,,46,Hauptschule,f,gering,gering,1,mittelmäßig,Sicherheit,avers,ziemlich unzufrieden,-4,ziemlich sicher,,,
2:risk,,new,left/right,1647,Party A,Party A,yes,no,no,no,yes,no,yes,0,-4,-4,16,-4,0,4,-16,,,-1,3,3,-1,sehr sicher,sicher,-1,,,65,Realschule,f,sehr groß,groß,2,sehr stark,Sicherheit,avers,ziemlich zufrieden,0,ziemlich sicher,,,
2:risk,,new,left/right,1648,Party A,Party A,no,no,no,no,no,no,yes,-2,-1,1,-3,-1,-2,-1,3,,,-2,1,1,0,sehr sicher,sicher,-2,,,57,Realschule,f,gering,gering,1,weniger stark,Sicherheit,avers,ziemlich unzufrieden,0,weder/noch,,,
2:risk,,new,left/right,1654,Party A,Party A,no,yes,no,no,no,no,yes,-3,0,3,-9,0,-3,-3,9,,,-3,0,0,0,ziemlich sicher,sicher,-3,,,53,Realschule,f,groß,groß,2,weniger stark,Sicherheit,avers,ziemlich unzufrieden,0,ziemlich unsicher,,,
2:risk,,new,both right,1655,Party A,Party A,yes,no,no,no,yes,no,yes,-1,-5,-4,24,-5,-1,4,-24,,,0,4,4,-1,ziemlich sicher,sicher,0,,,56,Realschule,m,groß,groß,0,ziemlich stark,Sicherheit,avers,ziemlich zufrieden,2,ziemlich sicher,,,
2:risk,,new,both left,1656,Party A,Party B,yes,no,yes,no,no,no,no,-4,-3,1,-7,-3,-4,-1,7,,,-4,-3,-3,0,sehr sicher,sicher,-4,,,66,Abitur,f,sehr groß,groß,2,ziemlich stark,keine Vorlieben,neutral,teils/ teils,0,sehr sicher,,,
2:risk,,new,both left,1663,Party A,Party B,yes,no,no,yes,no,no,no,-2,-1,1,-3,-1,-2,-1,3,,,-2,-1,-1,0,sehr sicher,sicher,-2,,,60,Realschule,m,gering,gering,0,überhaupt nicht,keine Vorlieben,neutral,teils/ teils,0,weder/noch,,,
2:risk,,new,both right,1665,Party A,Party B,yes,no,yes,no,yes,no,no,-2,-2,0,0,-2,-2,0,0,,,2,2,2,0,weder/noch,unsicher,2,,,46,Hauptschule,m,gering,gering,2,mittelmäßig,keine Vorlieben,neutral,teils/ teils,0,weder/noch,,,
2:risk,,new,both right,1667,Party A,Party A,yes,yes,no,no,yes,no,yes,-1,-1,0,0,-1,-1,0,0,,,0,0,0,-1,ziemlich sicher,sicher,0,,,64,Hauptschule,f,gering,gering,2,ziemlich stark,Sicherheit,avers,teils/ teils,2,ziemlich sicher,,,
2:risk,,new,both left,1668,Party B,Party B,yes,no,no,no,yes,no,yes,-5,-4,1,-9,-5,-4,1,-9,,,-4,-3,-4,1,ziemlich sicher,sicher,-3,,,59,Realschule,m,gering,gering,1,mittelmäßig,keine Vorlieben,neutral,ziemlich unzufrieden,-3,ziemlich sicher,,,
2:risk,,new,left/right,1674,Party A,Party A,yes,no,no,no,yes,no,yes,0,-6,-6,36,-6,0,6,-36,,,-3,3,3,-3,ziemlich sicher,sicher,-3,,,54,Realschule,f,gering,gering,1,mittelmäßig,Sicherheit,avers,teils/ teils,0,weder/noch,,,
